shopname,price,star,type,longitude,latitude
鱼宴馆·家宴老字号(千岛湖总店),￥86,45,农家菜,119.0300135,29.60670819
溪畔十九·L‘éclat 19(西湖店),"￥1,919",45,西餐,120.1269905,30.199072
Burger LAB 汉堡实验室(中山中路店),￥53,45,创意菜,120.1652317,30.25866564
水浒烤肉李家(杭州总店),￥71,50,融合烤肉,120.279775,30.3156457
左庭右院鲜牛肉火锅(中粮大悦城店),￥130,45,潮汕牛肉火锅,120.1246012,30.30436556
外婆家(西湖天地涌金店),￥85,45,浙菜,120.1540384,30.2486687
鲜与鲜寻·羊排炉牛排炉(黄龙店),￥92,40,私房菜,120.1213333,30.27752171
511baker studio,￥271,50,面包烘焙,120.1033703,30.30953043
Jason's Library 杰森图书馆,￥196,45,西餐,120.10304,30.29539793
杭州君悦酒店·湖滨28中餐厅,￥467,45,浙菜,120.157227,30.25698286
一路吃·西湖杭帮菜(南山路店),￥73,40,浙菜,120.1538425,30.24007199
东富酒家(平安金融中心店),￥322,45,潮汕菜,120.2078572,30.25410086
素清香(解放路店),￥29,40,素食自助,120.1737577,30.25227216
鮨清日本料理,￥480,45,日本料理,120.1659409,30.26943503
左庭右院鲜牛肉火锅(来福士店),￥130,45,潮汕牛肉火锅,120.2085289,30.25195689
大川烧鸟居酒屋·日式小酒馆(火车东站店),￥119,50,日本料理,120.1959411,30.28987843
乔街深夜食堂·小海鲜·高压生蚝(杭州总店),￥139,50,海鲜,120.1378321,30.30805838
甜戒所(城西银泰店),￥27,40,甜品,120.097777,30.30269854
本格料亭·创作会席(星光大道店),￥709,45,日本料理,120.2034607,30.20940497
樱花屋精致料理·深夜食堂(杭州店),￥116,50,日本料理,120.2506941,30.232504
铭成小屋·炭火烧鸟居酒屋(星光城店),￥121,45,日式烧烤/烤肉,120.1163732,30.27938054
海底捞火锅(三花国际店),￥98,50,四川火锅,120.2190528,30.29805013
有家面(河东路店),￥26,40,面馆,120.1589688,30.28544643
巡山令云南火锅(滨江山泽里店),￥98,45,云南火锅,120.1945714,30.18293685
see you 烘焙(丰登街店),￥167,40,面包烘焙,120.1106741,30.3008096
海底捞火锅(城西银泰店),￥106,45,四川火锅,120.1022095,30.30111196
满意有机鱼馆·淳鱼直供店(千岛湖店),￥77,45,农家菜,119.039841,29.61545991
付小姐在成都(滨江店),￥71,45,川菜馆,120.1987189,30.21036801
海底捞火锅(庆春路店),￥119,45,四川火锅,120.1720289,30.26001029
湊湊火锅·茶憩(杭州远洋乐堤港店),￥130,40,火锅,120.1381861,30.30807492
海底捞火锅(天虹店),￥105,50,四川火锅,120.2040293,30.26683867
柴火人家(桐庐总店),￥86,45,农家菜,119.7000273,29.80171675
海底捞火锅(西湖店),￥113,45,四川火锅,120.159359,30.24961739
猪笼城寨·龙虾烧烤·怀旧包厢·露天大排档(萧山一店),￥121,45,小龙虾,120.2557401,30.23284744
成都遇见你·串串吧(萧山店),￥80,50,串串香,120.2384695,30.18544729
望江门小龙虾·美蛙(西湖音乐喷泉店),￥119,45,小龙虾,120.1560865,30.25901459
望江门小龙虾·靓虾(西湖总店),￥118,45,小龙虾,120.1558876,30.26338785
栖溪里.江景餐厅30年老店,￥87,40,农家菜,119.5172045,29.91240862
大娘舅江景餐厅(白冷线店),￥78,45,农家菜,119.5166323,29.91322999
六金海南鸡饭(原皇后店),￥58,40,快餐简餐,120.1569711,30.27117014
成都遇见你·串串吧(滨江店),￥80,50,串串香,120.1480984,30.18754076
望江门小龙虾(天虹二店),￥71,40,小龙虾,120.20521,30.26755222
海底捞火锅(庆春路店),￥119,45,四川火锅,120.1720289,30.26001029
湊湊火锅·茶憩(杭州远洋乐堤港店),￥130,40,火锅,120.1381861,30.30807492
海底捞火锅(天虹店),￥105,50,四川火锅,120.2040293,30.26683867
柴火人家(桐庐总店),￥86,45,农家菜,119.7000273,29.80171675
海底捞火锅(西湖店),￥113,45,四川火锅,120.159359,30.24961739
701Cake精致蛋糕定制,￥156,45,面包烘焙,120.3297949,30.31519143
觅福·熟成和牛餐厅,￥450,45,牛排,120.1249712,30.30205028
一味大院(春江路店),￥76,40,浙菜,119.6873101,29.80420236
鱼阿婆·舌尖上的千岛湖美食,￥86,45,农家菜,119.0346269,29.60864314
戒不掉小龙虾·美蛙鱼头(网商路店),￥109,40,小龙虾,120.1863318,30.19613447
猪笼城寨·龙虾烧烤·怀旧包厢·露天大排档(萧山一店),￥121,45,小龙虾,120.2557401,30.23284744
成都遇见你·串串吧(萧山店),￥80,50,串串香,120.2384695,30.18544729
望江门小龙虾·美蛙(西湖音乐喷泉店),￥119,45,小龙虾,120.1560865,30.25901459
望江门小龙虾·靓虾(西湖总店),￥118,45,小龙虾,120.1558876,30.26338785
栖溪里.江景餐厅30年老店,￥87,40,农家菜,119.5172045,29.91240862
甜戒所(城西银泰店),￥27,40,甜品,120.097777,30.30269854
水浒烤肉李家(杭州总店),￥71,50,融合烤肉,120.279775,30.3156457
see you 烘焙(丰登街店),￥167,40,面包烘焙,120.1106741,30.3008096
碧桃小馆·民国宅院·团建聚餐(西湖大道店),￥149,45,创意菜,120.1610882,30.24859269
头牌·鹤岗小串(高沙一店),￥76,45,烤串,120.3312614,30.31745036
LINKS千临日本料理(黄龙万科中心店),￥180,45,日本料理,120.1214776,30.27786584
粤顺·顺德菜(朝晖国都店),￥140,40,顺德菜,120.1648047,30.27945394
海底捞火锅(九宜城店),￥127,45,四川火锅,120.2108491,30.21482127
湖畔·私房菜·杭帮菜(湖滨店),￥65,40,浙菜,120.154905,30.26008035
春娟茶楼·地道农家菜(梅家坞店),￥91,50,农家菜,120.0838909,30.20751505
海猫食堂(馒头山店),￥118,40,私房菜,120.1645418,30.22037909
河下咖啡,￥59,45,咖啡厅,119.9974347,30.38871115
湊湊火锅·茶憩(杭州西溪天街店),￥123,45,火锅,120.0633802,30.29643606
海底捞火锅(临平欢乐城店),￥110,50,四川火锅,120.2964662,30.39853421
三花屋 Mihhanaya,￥58,40,甜品,120.147466,30.31336556
八鲜够嗨(虎玉路店),￥94,45,私房菜,120.145418,30.20887313
她城有他·江浙创意菜(法镜寺店),￥96,45,创意菜,120.1001583,30.23813109
肉本家·炭烤肉(下沙宝龙店),￥96,50,韩国料理,120.377416,30.31584899
大川日本料理·烧鸟居酒屋(滨江龙湖天街店),￥113,50,日本料理,120.2000198,30.20254936
荣小馆(杭州大厦店),￥172,40,苏浙菜,120.1560511,30.27484011
南京大牌档(金沙印象城店),￥69,40,南京菜,120.3315894,30.31114153
巡山令云南火锅(黄姑山路店),￥107,45,云南火锅,120.1294055,30.27838244
Oneday(红普路店),￥95,45,西餐,120.2473671,30.31924207
那时新疆·龟兹(湖滨银泰in77D区店),￥90,40,新疆菜,120.1590245,30.25570429
壹鹭?家宴(斗富一桥店),￥103,45,私房菜,120.1709702,30.24306666
CinCin親親 巷弄里的复古餐厅,￥136,40,西餐,120.1643694,30.22006479
唐宫(杭州万象城店),￥139,40,粤菜馆,120.210866,30.25349764
欢牛蛋糕屋(庆春银泰店),￥32,40,面包烘焙,120.2002734,30.26321862
丸金日式料理(中山中路店),￥157,40,日本料理,120.1650181,30.25869324
大鱼徽州·寻味徽菜(星光总店),￥90,45,特色菜,120.2041361,30.21090782
资董窝玺coffee(绿城元福里店),￥63,45,咖啡厅,120.1666668,30.2492431
嘭嘭鲜·炭炉牛杂煲(九堡店),￥90,45,打边炉/港式火锅,120.2544275,30.32122228
王品牛排(杭州大厦店),￥252,45,牛排,120.1562565,30.27660931
RELOAD COFFEE(中山北路店),￥35,40,咖啡厅,120.1644798,30.26638456
老底子饭盒烤肉(原凤山路店),￥91,40,融合烤肉,120.1644547,30.2432504
御牛道烤肉料理(中山中路店),￥175,45,日式烧烤/烤肉,120.1657015,30.25430289
中国凉都黄牛肉馆(联兴路店),￥91,45,火锅,119.9361125,30.26621226
湘之荷品质湘菜(莫干山路店),￥114,45,湘菜,120.1488338,30.27854081
尚流餐饮(市心北路店),￥379,45,浙菜,120.2635878,30.22287583
仓之吉烧肉屋(中山北路店),￥157,40,日式烧烤/烤肉,120.162642,30.27010178
南妈stay·泰国料理,￥92,40,泰国菜,120.1432697,30.18956447
御牛道烤肉料理(西溪印象城店),￥172,45,日式烧烤/烤肉,120.0420739,30.24932633
铁锅岁月(瑶琳路店),￥59,40,本地鸡窝火锅,119.6929759,29.80459662
SECTION&COFFEE沙县咖啡(湖墅南路店),￥27,40,咖啡厅,120.1980488,30.2628963
海底捞火锅(银隆百货店),￥102,50,四川火锅,120.2641157,30.17422083
捞王锅物料理(龙湖滨江天街店),￥120,50,猪肚鸡火锅,120.1983074,30.20299677
龙之介·炉端烧(滨江店),￥318,50,日本料理,120.1687461,30.18831365
NOWHERE COFFEE(嘉里中心店),￥30,40,咖啡厅,120.1575103,30.26352682
和炙烧鸟(庆春店),￥140,40,日式烧烤/烤肉,120.1660851,30.26021811
猫里有甜(闻涛路店),￥54,40,甜品,120.1496774,30.19379825
鮨贤 Sushi GXH(滨江店),"￥2,012",40,日本料理,120.142015,30.29999498
子竹烧鸟小酒馆(滨江保利时光里店),￥118,45,日本料理,120.1925478,30.1847355
海底捞火锅(金城路店),￥100,50,四川火锅,120.2460282,30.18523213
新白鹿餐厅(城西银泰城店),￥68,45,浙菜,120.1021804,30.30107996
晌熏·堆堆烤肉,￥80,45,韩式烤肉,120.3434919,30.31141865
辛香汇·锦里丨现炒川菜(工联CC店),￥78,45,川菜馆,120.1596773,30.25666842
黄尚皇小龙虾和螃蟹餐厅(皇后公园店),￥195,50,小龙虾,120.1598388,30.26868767
FOLLOW COFFEE,￥52,40,咖啡厅,120.1549804,30.26982662
迦南(金沙天街店),￥35,40,甜品,120.3216576,30.31319625
老后生碳烤牛肉,￥64,45,融合烤肉,119.6874898,29.80433003
叶马(嘉里中心店),￥143,40,浙菜,120.1580811,30.26312491
湊湊火锅·茶憩(杭州金沙印象城店),￥120,45,火锅,120.3310193,30.31076966
望江门小龙虾·烧烤(天虹一店),￥97,40,小龙虾,120.2052601,30.26758929
马灯部落(杭州西湖虎跑店),￥92,40,烤羊腿,120.1334294,30.21866367
么哈(下沙学林街店),￥74,40,西餐,120.3294362,30.3176118
同乐舫(学院路店),￥147,40,粤菜馆,120.1253022,30.27551748
TateIsland泰特岛,￥83,40,咖啡厅,120.1487637,30.22971865
湘香蒸菜馆(湘湖路店),￥81,40,浙菜,120.2428247,30.16067193
春色如许·人文茶食,￥112,45,浙菜,119.7906096,30.27527707
杭州康莱德酒店·里安,￥722,50,浙菜,120.2091524,30.25141772
舟东奶酸菜鱼·新鲜活鱼·手工薄切(三花国际店),￥73,45,酸菜鱼/水煮鱼,120.2193895,30.29730153
杭州城中香格里拉·城中啤酒餐吧,￥147,45,西餐,120.1570671,30.26223812
寻味江南·小宁波菜馆,￥130,45,浙菜,120.2014252,30.27652608
蜜桃(滨盛路店),￥105,40,西餐,120.1500618,30.18946812
御牛道烤肉料理(金沙印象城店),￥164,50,融合烤肉,120.3317702,30.31111919
西贝莜面村(凯德来福士店),￥95,45,西北民间菜,120.2082463,30.25144057
粤顺·本味顺德(玉古路店),￥145,40,顺德菜,120.1238795,30.26927937
外婆家(国大城市广场店),￥65,40,浙菜,120.15796,30.27174191
杭州新新饭店·1913餐厅,￥349,45,浙菜,120.1394215,30.25831292
海底捞火锅(绍兴路店),￥106,50,四川火锅,120.1632032,30.30009474
江南虾客?特色龙虾?烧烤(天虹店),￥93,40,小龙虾,120.2058946,30.26770813
绿茶餐厅(湖滨银泰in77店),￥82,40,浙菜,120.1597627,30.25473374
丰乐餐厅·始于1999(千岛湖鱼街店),￥92,45,浙菜,119.0256157,29.5980364
左庭右院鲜牛肉火锅(龙湖杭州滨江天街店),￥130,45,潮汕牛肉火锅,120.1983325,30.20302281
捞王锅物料理(大悦城店),￥120,45,猪肚鸡火锅,120.1245711,30.30417455
西堤牛排(来福士店),￥138,45,西餐,120.2087655,30.25172621
绿茶餐厅(龙井路店),￥97,45,浙菜,120.1189901,30.2345478
燃舍烧肉.烤鳗鱼自助放题(滨江店),￥136,40,烤肉自助,120.2064282,30.20255936
望湖小馆(西湖店),￥68,40,浙菜,120.1566402,30.25784071
樟乐茶庄·青瓷,￥97,45,农家菜,120.0832867,30.20770331
Cycle&Cycle(中山北路店),￥38,40,面包烘焙,120.2516367,30.24334802
小亮蒸虾烧烤(天虹店),￥96,40,小龙虾,120.2060089,30.26688135
捞王锅物料理(杭州来福士店),￥115,45,猪肚鸡火锅,120.2083977,30.25153576
很累海南鸡饭(EAC欧美中心店),￥63,40,新加坡菜,120.1328641,30.27582347
bluefrog蓝蛙(远洋乐堤港店),￥140,45,西餐,120.1382472,30.30868894
红灯笼姥姥饭店·江景餐厅,￥75,40,农家菜,119.51628,29.91375698
川页的家(萧山店),￥353,40,自助餐,120.2620044,30.19126554
疆小原(青芝坞店),￥70,40,烤串,120.1152376,30.26064525
大牌大·融合杭帮菜(武林店),￥71,40,浙菜,120.1562856,30.26498244
江南YES夜市有个锅(浙大紫金港店),￥68,40,韩国料理,120.0907031,30.30816066
老秦凉都黄牛肉馆(总店),￥101,45,牛羊肉火锅,120.1548188,30.18744274
芒種(太合店),￥28,40,面馆,120.106988,30.30356493
上名堂·鱼头好吃(体育场路店),￥126,50,浙菜,120.1801367,30.27300912
鮨·六月(锦绣公园店),￥379,45,日本料理,120.1106749,30.30322032
杭越小鲜(来福士店),￥146,45,浙菜,120.2082213,30.25083559
漫蔬?台北蔬食小馆VEGGIEBOIL(朝晖店),￥42,45,素食,120.16595,30.28067897
DAILY BREW,￥36,40,咖啡厅,120.135793,30.27062324
赠李白·如诗的川味(庆春银泰店),￥83,45,川菜馆,120.2001171,30.26237646
大肆撸串·西南串味(湖滨银泰in77店),￥80,40,烤串,120.1591491,30.25305673
弄堂里· 江南名肴(西湖龙井路店),￥75,40,浙菜,120.1191198,30.24135945
御乐堂·戏茶食驿(中山中路店),￥139,40,浙菜,120.1663524,30.24227804
海底捞火锅(下沙银泰店),￥101,50,四川火锅,120.321423,30.30130113
梁大妈妈菜·小龙虾·酸菜鱼·羊蝎子,￥108,40,小龙虾,120.1594693,30.28542036
二烧(拱苑路店),￥20,40,江浙小吃,120.1048572,30.29916332
青庐·千岛湖餐饮名店,￥80,40,农家菜,119.1527988,29.59264209
外婆家(湖滨银泰IN77E区店),￥65,40,浙菜,120.158807,30.25336707
新白鹿餐厅(龙游路店),￥69,40,浙菜,120.1547251,30.26427566
付小姐在成都(文二路店),￥71,40,川菜馆,120.1194789,30.28443506
杭州远洋凯宾斯基酒店 · 紫宸中餐厅,￥264,45,浙菜,120.1360735,30.3087876
素心素食(翠苑店),￥35,50,素食自助,120.1193441,30.29060427
湊湊火锅·茶憩(杭州萧山万象汇店),￥120,45,火锅,120.263021,30.18426819
中国凉都贵州黄牛馆(杭州总店),￥62,40,牛羊肉火锅,120.2054947,30.2675896
星汀·新加坡餐室(海威新界店),￥59,45,新加坡菜,120.2209101,30.21347884
雅轩餐厅·创意江浙菜(西溪湿地店),￥180,45,浙菜,120.0668099,30.27660778
纳德世家·食尚餐厅,￥176,40,自助餐,120.1530934,30.27564265
醉忆江南江鲜馆(富阳总店),￥84,45,家常菜,119.9284027,30.05566201
笤帚湾·虎哥私房菜(馒头山店),￥132,40,私房菜,120.1647846,30.2195376
九里云松·天香餐厅,￥385,50,浙菜,120.107827,30.24733783
御牛道·食材专门店,￥60,40,日式简餐/快餐,120.1777353,30.27711933
佳藕天成(南宋御街店),￥23,40,江浙小吃,120.1662663,30.24127595
杭儿风餐厅(来福士店),￥86,40,浙菜,120.2083466,30.25054977
渔歌和宴·原烹海鲜,￥150,50,海鲜,119.9872385,30.27922375
太二酸菜鱼(杭州大悦城店),￥85,40,酸菜鱼/水煮鱼,120.1252937,30.30448038
涤心沼,￥498,50,私房菜,120.1084769,30.22595272
龙井草堂,￥784,40,浙菜,120.1134048,30.23089395
小林刺身·家庭料理社区店(中山北路店),￥113,40,日本料理,120.1625417,30.2710375
海底捞火锅(水晶城购物中心店),￥104,45,四川火锅,120.1467425,30.30694909
雷迪森龙井庄园·酩原吧,￥145,40,饮品店,120.1090934,30.23109678
卤鸭儿(万科店),￥57,40,浙菜,120.1219232,30.3292853
陈先进鱼馆·衢州老字号(黄龙店),￥92,45,浙菜,120.1287963,30.27542092
知足亭,￥298,50,日本料理,120.1011217,30.24731171
江南小叙·美食研究院(鱼街店),￥78,40,农家菜,119.022598,29.60173535
西部往事餐厅·酒馆,￥98,45,创意菜,120.0541668,30.18483446
客串出品·鲜牛肉串(萧山汇金店),￥88,40,烧烤烤串,120.2414085,30.18393293
如野·玻璃房子·山野食记(西湖虎跑满陇桂雨店),￥118,45,私房菜,120.1326556,30.21689067
玖隆坡鱼头火锅(滨江天街店),￥122,45,重庆火锅,120.1980367,30.20274637
御牛道烤肉料理(大悦城店),￥174,45,日式烧烤/烤肉,120.1255303,30.30386974
李九记·火腫鸡海鲜火锅(胜利河店),￥301,50,海鲜火锅,120.1470581,30.29875559
食甜帮·蛋糕甜品(通益路店),￥51,40,甜品,120.1265834,30.33127053
全乐鱼馆·淳牌有机鱼直营店,￥88,50,农家菜,119.039836,29.61541993
鮨·浅草君·洋风料理(星耀城店),￥82,40,日本料理,120.2117631,30.21427639
尊蓝钱江豪华精选酒店-澜亭中餐厅,￥430,50,浙菜,120.1919357,30.22659831
老头儿油爆虾(金沙印象城店),￥86,40,浙菜,120.3313388,30.31108501
汝拉·西溪哩(西溪湿地福堤慢生活街区店),￥110,45,浙菜,120.066599,30.27666803
彩娥饭店,￥80,40,浙菜,120.0425709,30.22814977
炉鱼(万象汇店),￥82,45,烤鱼,120.2635949,30.18447879
水车小屋,￥148,45,日本料理,120.2658805,30.21158082
蟹太宗虾蟹煲·羊肉炉·美蛙(西湖解百店),￥75,40,特色菜,120.1599586,30.25184833
船上人餐厅·地道农家土菜·千岛湖老字号,￥70,50,家常菜,119.0692947,29.60877945
弄口里烧烤(滨江康康谷店),￥52,50,烤串,120.2099335,30.19771606
湊湊火锅·茶憩(杭州金地广场店),￥126,45,火锅,120.0780171,30.3416073
临安宴·归来时·临安菜(博物馆店),￥88,45,浙菜,119.7223214,30.23085069
咕鹿流心披萨(下沙店),￥52,45,西餐,120.3319181,30.32103165
