truth,route,jaccard,exact_match,center_distance,distance_similarity,popularity_similarity,ai_similarity
"['灵隐寺', '法喜寺', '苏堤', '太子湾', '净慈寺', '雷峰塔', '曲院风荷', '西泠桥', '白堤', '断桥', '武林夜市']","['法喜寺', '苏堤春晓', '平湖秋月', '断桥残雪', '武林夜市']",0.14285714285714285,0.45454545454545453,0.31903834807827103,0.1334073899457051,0.00510204081632653,
"['龙翔桥', '知味观', '柳浪闻莺', '三潭印月', '花港观鱼', '南屏晚钟', '雷峰夕照', '苏堤春晓', '曲院风荷', '平湖秋月', '断桥残雪', '武林夜市']","['断桥残雪', '白堤', '孤山', '平湖秋月', '苏堤春晓', '花港观鱼', '曲院风荷', '柳浪闻莺', '南屏晚钟', '雷峰夕照', '双峰插云']",0.5333333333333333,0.9166666666666666,0.6968061200404918,0.2486241256015085,0.006622516556291391,
"['龙翔桥', '湖滨晴雨', '一公园码头', '花港观鱼', '净慈寺', '雷峰塔', '青少年宫']","['断桥残雪', '苏堤春晓', '青少年宫', '湖滨晴雨', '平湖秋月', '曲院风荷']",0.18181818181818182,0.8571428571428571,0.875647962779579,0.21955655730581836,0.012658227848101266,
"['湖滨晴雨', '三潭印月', '花港观鱼', '太子湾', '雷峰塔', '苏堤', '曲苑风荷', '孤山', '白堤', '断桥', '少年宫', '武林夜市']","['断桥', '苏堤', '花港观鱼', '少年宫', '孤山', '白堤', '西湖博物馆', '雷峰塔']",0.5384615384615384,0.6666666666666666,0.16819266149299056,0.28131110215693855,0.008333333333333333,
"['曲院风荷', '郭庄', '茅家埠', '花港观鱼', '苏堤', '太子湾公园', '雷峰塔', '岳庙', '孤山', '白堤', '断桥', '少年宫']","['断桥残雪', '白堤', '平湖秋月', '曲院风荷', '苏堤春晓']",0.13333333333333333,0.4166666666666667,0.49694343535334046,0.09778925058205785,0.011494252873563218,
"['曲院风荷', '茅家埠', '花港观鱼']","['曲院风荷', '花港观鱼', '茅家埠', '浴鹄湾', '郭庄', '杭州植物园', '北山街']",0.42857142857142855,2.3333333333333335,0.17102264792324443,0.09814203174201654,0.1111111111111111,
"['龙翔桥', '钱王祠', '柳浪闻莺', '三潭印月', '花港观鱼', '雷峰塔', '净慈寺', '苏堤', '岳王庙', '曲院风荷', '平湖秋月', '断桥残雪']","['断桥残雪', '白堤', '平湖秋月', '苏堤春晓', '花港观鱼', '岳王庙']",0.2857142857142857,0.5,0.5349617935653574,0.1908965615064569,0.006896551724137931,
"['吴山广场', '柳浪闻莺', '钱王祠', '钱王祠码头', '三潭印月', '花港观鱼', '雷峰塔', '岳王庙', '孤山', '断桥', '武林夜市']","['断桥残雪', '白堤', '孤山', '平湖秋月', '三潭印月', '苏堤春晓', '花港观鱼', '武林夜市']",0.26666666666666666,0.7272727272727273,0.502916197867695,0.5055952355643833,0.008771929824561403,
"['白堤', '曲院风荷', '苏堤', '三潭印月', '花港观鱼', '雷峰塔', '柳浪闻莺', '河坊街', '灵隐寺', '茅家埠', '云栖竹径', '九溪烟树']","['断桥残雪', '白堤', '雷峰塔', '花港观鱼', '苏堤春晓', '柳浪闻莺']",0.2857142857142857,0.5,1.5360686163274826,0.05090483945883468,0.013333333333333334,
"['西湖', '太子湾公园', '净慈寺', '西泠桥', '乌龟潭', '浴鹄湾', '曲院风荷']","['曲院风荷', '西泠桥', '苏堤春晓', '茅家埠', '杨公堤', '郭庄', '浴鹄湾']",0.2727272727272727,1.0,0.8030341138808618,0.12292256513369161,0.2,
"['湖滨', '柳浪闻莺', '钱王祠码头', '三潭印月', '花港观鱼', '太子湾公园', '净慈寺', '雷峰塔', '苏堤', '曲院风荷', '西泠桥', '白堤', '断桥', '武林夜市']","['断桥残雪', '白堤', '孤山', '西泠桥', '苏堤春晓', '雷峰塔', '花港观鱼']",0.23529411764705882,0.5,0.48861564283558717,0.14383213696563352,0.003436426116838488,
"['湖滨', '柳浪闻莺', '钱王祠码头', '三潭印月', '花港观鱼', '太子湾公园', '净慈寺', '雷峰塔', '苏堤', '曲院风荷', '西泠桥', '白堤', '断桥', '武林夜市']","['断桥残雪', '白堤', '钱王祠码头', '苏堤春晓', '太子湾公园', '花港观鱼']",0.25,0.42857142857142855,0.2517733246787225,0.16718882683961253,0.003472222222222222,
"['郭庄', '曲院风荷', '西泠桥', '孤山公园', '平湖秋月', '断桥残雪', '集贤亭', '柳浪闻莺', '长桥', '雷峰塔', '净慈寺', '太子湾', '花港观鱼']","['断桥残雪', '苏堤春晓', '集贤亭', '花港观鱼', '太子湾']",0.2857142857142857,0.38461538461538464,0.08192134229108093,0.9623891437540912,0.012658227848101266,
"['曲苑风荷', '茅家埠', '花港观鱼', '乌龟潭', '浴鹄湾', '太子湾', '苏堤', '少年宫']","['断桥残雪', '白堤', '花港观鱼', '浴鹄湾', '苏堤春晓']",0.18181818181818182,0.625,0.5716193331633704,0.20538850943479747,0.029411764705882353,
"['太子湾公园', '浴鹄湾', '雪舫', '乌龟潭', '茅家埠', '郭庄', '曲院风荷']","['曲院风荷', '茅家埠', '郭庄', '浴鹄湾', '杨公堤']",0.5,0.7142857142857143,0.3585414763154235,0.35621982373399286,0.07692307692307693,
"['曲院风荷', '郭庄', '茅家埠', '浴鹄湾', '乌龟潭', '花港观鱼', '太子湾公园', '雷峰塔', '净慈寺']","['浴鹄湾', '曲院风荷', '郭庄', '西湖博物馆', '茅家埠']",0.4,0.5555555555555556,0.6019884745063765,0.6608586998385154,0.02127659574468085,
"['太子湾公园', '花港观鱼', '乌龟潭', '茅家埠', '曲院风荷', '断桥', '孤山']","['苏堤春晓', '太子湾公园', '乌龟潭', '杨公堤', '曲院风荷']",0.3333333333333333,0.7142857142857143,0.35032518493860143,0.36591544564338696,0.02631578947368421,
"['龙翔桥', '知味观', '柳浪闻莺', '三潭印月', '花港观鱼', '南屏晚钟', '雷峰夕照', '苏堤春晓', '曲院风荷', '平湖秋月', '断桥残雪', '武林夜市']","['断桥残雪', '白堤', '苏堤春晓', '柳浪闻莺', '平湖秋月', '花港观鱼', '曲院风荷']",0.46153846153846156,0.5833333333333334,0.5249450605965003,0.9702231207328977,0.006060606060606061,
"['龙翔桥', '知味观', '柳浪闻莺', '三潭印月', '花港观鱼', '南屏晚钟', '雷峰夕照', '苏堤春晓', '曲院风荷', '平湖秋月', '断桥残雪', '武林夜市']","['曲院风荷', '苏堤春晓', '花港观鱼', '雷峰夕照', '断桥残雪', '平湖秋月']",0.5,0.5,0.7207790399504488,0.23478452834815947,0.006172839506172839,
"['西湖', '三潭印月', '花港观鱼', '净慈禅寺', '雷峰塔', '苏堤', '西泠桥', '白堤', '断桥残雪', '飞来峰', '灵顺寺', '韬光寺', '永福寺', '灵隐寺']","['断桥残雪', '白堤', '孤山', '平湖秋月', '苏堤春晓', '花港观鱼', '曲院风荷', '灵隐寺', '飞来峰']",0.2777777777777778,0.6428571428571429,1.0722134204621878,0.04390477044532343,0.009523809523809525,
